name	value
Antigua	Antigua and Barbuda
Barbuda	Antigua and Barbuda
Ashmore and Cartier Islands	Australia
Ashmore Island	Australia
Cartier Island	Australia
Coral Sea Island	Australia
Cape Verde	Cabo Verde
Bonaire	Caribbean Netherlands 
Bonaire, Sint Eustatius, and Saba	Caribbean Netherlands 
Saba	Caribbean Netherlands 
Sint Eustatius	Caribbean Netherlands 
People's Republic of China	China
Keeling Islands	Cocos Islands
Ivory Coast	Côte d'Ivoire
Czechia	Czech Republic
Malvinas	Falkland Islands
Clipperton Island	France
Heard Island	Heard Island and McDonald Islands
McDonald Island	Heard Island and McDonald Islands
Vatican City	Holy See
Burma	Myanmar
Democratic People's Republic of Korea	North Korea
Ascension	Saint Helena, Ascension and Tristan da Cunha
Saint Helena	Saint Helena, Ascension and Tristan da Cunha
Tristan da Cunha	Saint Helena, Ascension and Tristan da Cunha
Miquelon	Saint Pierre and Miquelon
Saint Pierre	Saint Pierre and Miquelon
Grenadines	Saint Vincent and the Grenadines
Saint Vincent	Saint Vincent and the Grenadines
Principe	Sao Tome and Principe
Sao Tome	Sao Tome and Principe
South Georgia Islands	South Georgia and the South Sandwich Islands
South Sandwich Islands	South Georgia and the South Sandwich Islands
Republic of Korea	South Korea
Republic of China	Taiwan
Republic of China	Taiwan
Brunei Darussalam	The Pitcairn, Henderson, Ducie and Oeno Islands
Ducie Island	The Pitcairn, Henderson, Ducie and Oeno Islands
Oeno Island	The Pitcairn, Henderson, Ducie and Oeno Islands
Pitcairn Island	The Pitcairn, Henderson, Ducie and Oeno Islands
East Timor	Timor-Leste
Tobago	Trinidad and Tobago
Trinidad	Trinidad and Tobago
Akrotiri	United Kingdom
Akrotiri and Dhekelia	United Kingdom
Dhekelia	United Kingdom
England	United Kingdom
Great Britain	United Kingdom
Northern Ireland	United Kingdom
Scotland	United Kingdom
Wales	United Kingdom
Baker Island	United States Minor Outlying Islands
Hawaiian Islands	United States Minor Outlying Islands
Howland Island	United States Minor Outlying Islands
Jarvis Island	United States Minor Outlying Islands
Johnston Atoll	United States Minor Outlying Islands
Kingman Reef	United States Minor Outlying Islands
Midway Atoll	United States Minor Outlying Islands
Navassa Island	United States Minor Outlying Islands
Palmyra Atoll	United States Minor Outlying Islands
United States Minor Outlying Islands	United States Minor Outlying Islands
United States Virgin Islands	United States Minor Outlying Islands
Wake Island	United States Minor Outlying Islands
United States	United States of America
US	United States of America
USA	United States of America
Viet Nam	Vietnam
Sahrawi Arab Democratic Republic	Western
